1,Anton,Popov
2,Ivan,Petrov
3,Oleg,Semenov
4,Dementij,Koshechkin
5,Nikita,Gluhov
6,Egor,Koshechkin
7,Hariton,Dmitriev
8,Jernest,Kushkin
9,Agafon,Belomestnyh
10,Danila,Polevshhikov
11,Valerij,Malinov
12,Petr,Gluhov
13,Jerik,Zajcev
14,Kirill,Kriz'ko
15,Nikita,Kushkin
16,Danila,Chukchov
17,Kim,Greshnev
18,Martyn,Greshnev
19,Lavrentij,Greshnev
20,Danila,Kaljagin
21,Rodion,Jastrebeneckij
22,Danila,Kushkin
23,Jernest,Jastrebeneckij
24,Vaclav,Kriz'ko
25,Artem,Kaljagin
26,Rodion,Posohov
27,Fadej,Pishhikov
28,Jemir,Gulin
29,Solomon,Gulin
30,Adam,Jastrebeneckij
31,Ruben,Kobelev
32,Vladislav,Dmitriev
33,Jemir,Gluhov
34,Dem'jan,Arhatkin
35,Kazimir,Krupin
36,Kim,Dmitriev
37,Filipp,Anjukov
38,Iosif,Simakin
39,Kapiton,Perevalov
40,Jernest,Posohov
41,Valerij,Revjakin
42,Jerik,Ogorodnikov
43,Adam,Krupin
44,Rodion,Enin
45,Vadim,Jastrebeneckij
46,Ippolit,Podshivalov
47,Dem'jan,Martjushev
48,Egor,Nesterov
49,Solomon,Kriz'ko
50,Kim,Kriz'ko
51,Adam,Rjabcev
52,Fedot,Kriz'ko
53,Andrijan,Arhatkin
54,Agafon,Ogorodnikov
55,Sokrat,Kuzubov
56,Nikita,Gulin
57,Petr,Filippov
58,Rodion,Zujkov
59,Kirill,Pishhikov
60,Vladimir,Limarov
61,Fadej,Jamzin
62,Kirill,Podshivalov
63,Danila,Volodin
64,Dem'jan,Jashukov
65,Klim,Jamzin
66,Il'ja,Dmitriev
67,Solomon,Filippov
68,Ruben,Nesterov
69,Martin,Simakin
70,Solomon,Podshivalov
71,Jerik,Kriz'ko
72,Timofej,Jashukov
73,Fedot,Grebennikov
74,Egor,Kriz'ko
75,Sokrat,Anjukov
76,Filipp,Revjakin
77,Valerij,Zujkov
78,Vladislav,Revjakin
79,Vladimir,Kushkin
80,Vaclav,Pirozhkov
81,Artem,Pishhikov
82,Sokrat,Kriz'ko
83,Jernest,Gulin
84,Ippolit,Arhatkin
85,Klim,Grebennikov
86,Il'ja,Podshivalov
87,Kirill,Bebchuk
88,Iosif,Kriz'ko
89,Vseslav,Malinov
90,Artem,Grebennikov
91,Sokrat,Bebchuk
92,Martin,Kuzubov
93,Valerij,Rjabcev
94,Jemir,Gabulov
95,Jakub,Kobelev
96,Roman,Zajcev
97,Kirill,Sukin
98,Il'ja,Enin
99,Kim,Pirozhkov
100,Vadim,Jashukov
101,Ruben,Malinov
102,Zahar,Perevalov
103,Iosif,Martjushev
